Year,Category,Name,Advisor,Title
2012,Drawings/Prints/Works on Paper,Ana Franco,Edward J. Sullivan,"Edgar Negret and Eduard Ramirez-Villamizar: Transnational Encounters and the Rise of Modernism in Colombian Art, 1944-1964"
2012,Early Christian/Byzantine Art,Casey Gardonio-Foate,Jonathan Brown,Professional Women Artists of Iberia¡¯s Golden Age: Careers in Context
2012,Early Medieval/Romanesque/Gothic Art,Sarah Graff,Katherine Welch,Humbaba/Huwawa
2012,Egyptian/Ancient Near Eastern Art,Erik Gustafson,Marvin L. Trachtenberg,Tradition and Renewal in the Thirteenth-Century Franciscan Architecture of Tuscany
2012,Eighteenth-Century Art,Karen Hung,Colin T. Eisler,"Carved Elegance: Hans Thoman, German Renaissance Sculptor"
2012,Film/Video,Lauren Jacobi,Marvin L. Trachtenberg,The Topography of Money: The Architecture and Urbanism of Banks in Renaissance Italy
2012,Greek/Roman Art,Danielle Johnson,Robert S. Lubar,"Salvador Dal¨ª and Ren¨¦ Magritte, 1928-1938"
2012,Japanese/Korean Art,Ronda Kasl,Egbert Haverkamp-Begemann,"The Making of Hispano-Flemish Style: Art, Commerce, and Politics in Fifteent-Century Castille"
2012,Latin American/Caribbean Art,Laura Leaper,Jonathan Brown,"Time, Memory and Ritual: deciphering visual rhetoric in Diego Valades¡¯ Rhetorica Christiana"
2012,Native American,Yulin Lee,Jean-Louis Cohen,Strategies of Spatialization in the Contemporary Art Museum: An Exploratory Study of New Museums and Contemporary Art in Japan
2012,Nineteenth-Century Art,Niria E. Leyva-Gutierrez,Jonathan Brown,Painting Power: Images of Ecclesiastical Authority in Seventeenth-Century New Spain
2012,Oceanic/Australian Art,Sarah Madole,Katherine Welch,Innovation and Identity on Mythological Frieze Sarcophagi from Roman Asia Minor
2012,Outsider/Folk Art,Michele Matteini,Jonathan Hay,"Painting in the Age of Evidential Scholarship (Kaozheng): Luo Ping¡¯s Late Years, ca. 1770-1799"
2012,Performance Studies,Sarah Montross,Edward J. Sullivan,"Cartographic Communication: Latin American New Media Artists in New York, Juan Downey and Jaime Davidovich (1960s-1980s)"
2012,Pre-Columbian Art,Adele Nelson,Edward J. Sullivan,"The Monumental and the Ephemeral: The S_o Paulo Bienal and the Emergence of Abstraction in Brazil, 1946-1954"
2012,Prehistoric Art,Lelia Packer,Mari_t Westermann,"Imitation and Innovation in Materials in Early Modern Northern European Art: Pen Prints, Pen Drawings, and Pen Paintings, c. 1580-1670"
2012,Renaissance/Baroque Art,Maggie Popkin,Katherine Welch,"The Trimphal Route in Republican and Imperial Rome: Architecture, Experience, and Memory"
2012,South/Southeast Asian Art,Jennifer Udell,Clemente Marconi,Times of Day and Times of Year on Athenian Vases
2012,Twentieth-Century Art,Evan Williams,Robert Slifkin,Ever Drifting: Anna Atkins and the Birth of the Photobook
2012,World Art,Kathryn Wysocki,Jonathan Hay,Images for the King: The Bronze Plaques of the Benin Court in their Architectural Context
2011,African Art (sub-Saharan),Qamar Adamjee,Priscilla Soucek,Strategies for Visual Narration in the Illustrated Chandayan Manuscripts
2011,Architectural History/Historic Preservation,Esther Bell,Jonathan Brown,Charles-Antoine Coypel: Painting and Performance in Eighteenth-Century France
2011,Art of the Middle East/North Africa,Johanna Blokker,Jean-Louis Cohen,"(Re) Constructing Identity: World War II and the Reconstruction of Cologne¡¯s Destroyed Romanesque Churches, 1945-1985"
2011,Art of the United States,Michael Brown,Jonathan Brown,"Portraiture in New Spain, 1600-1800: Painters, Patrons and Politics in Viceregal Mexico"
2011,Chinese Art,Luis Castaneda,Jean-Louis Cohen and Edward J. Sullivan,"The Twilight of the Miracle: The Politics of Architecture in Mexico, 1953-1968"
2011,Contemporary Art,Amy Calver,David O¡¯Connor,The Integration of Quantitative and Qualitative Research in a Study of the Regalia of Ramses III
2011,Critical Theory/Gender Studies/Visual Studies,Jacquelyn Coutre,Egbert Haverkamp-Begemann,"Jan Lievens: Painting, Politics and Decoration in Dutch Art, 1653-1669"
2011,Decorative Arts/Textiles/Design History,Vanessa Davidson,Edward J. Sullivan,"Paulo Bruscky and Edgardo Antonio Vigo: Pioneers in Alternative Communication Networks, Conceptualism, and Performance (1960s-1980)"
2011,Digital Media/Animation,Keely Heuer,Joan Mertens,The Head as a Decorative Motif in South Italian Vase Painting
2011,Drawings/Prints/Works on Paper,Pamela Huckins,Jonathan Brown,"Art in the Alta California Mission Churches, 1769-1834"
2011,Early Christian/Byzantine Art,Maile Hutterer,Marvin L. Trachtenberg,Broken Outlines and Structural Exhibitionism: the Flying Buttress as Aesthetic Choice in Medieval France
2011,Early Medieval/Romanesque/Gothic Art,Matthew Israel,Robert Storr,Paradigms of Protest: American Artists Against the Vietnam War
2011,Egyptian/Ancient Near Eastern Art,Anna Jozefacka,Jean-Louis Cohen,"Rebuilding Warsaw: Conflicting Visions of a Capital City, 1916-1956"
2011,Eighteenth-Century Art,Yumiko Kamada,Priscilla Soucek,"Flowers on Floats: The Production, Circulation, and Reception of Early Modern Indian Carpets"
2011,Film/Video,Lauren Kinnee,Katherine Welch,The Roman Trophy: From Battlefield Marker to Emblem of Power
2011,Greek/Roman Art,Cheryl Korte,Colin T. Eisler,Plychromed Quattrocento Sculpture in Florence
2011,Japanese/Korean Art,Jonathan Lackman,Linda Nochlin,Art-Critical Invective in Paris: 1844-1876
2011,Latin American/Caribbean Art,Heather McCarthy,David O¡¯Connor,"Queenship, Cosmography, and Regeneration: The Decorative Programs and Architecture of Ramesside Royal Women¡¯s Tombs"
2011,Native American,Kathryn Moore,     ,Italian Copies of Holy Land Architecture: The Illustrated Versions of Niccol¨° da Poggibonsi¡¯s Libro d¡¯Oltramare
2011,Nineteenth-Century Art,Heather Turnbow,Katherine Welch,Sacrophagi and Funerary Display in Roman Aphrodisias
2011,Oceanic/Australian Art,Jessica Veith,Mari_t Westermann,Memorializing the Past: Jan de Bray and the Construction of Identity in Seventeenth-Century Haarlem
2010,Outsider/Folk Art,Marta Ameri,Colin T. Eisler,"Sealing at the Edge of the third Millennium Middle Asian Interaction Spheres: The View from Gilund, Rajasthan, India"
2010,Performance Studies,Jamieson Donati,Clemente Marconi,Towards an Agora: The Spatial and Architectural Development of Greek Commercial and Civic Space in the Peloponnese
2010,Pre-Columbian Art,Lindsay Harris,Jean-Louis Cohen,"Picturing the ¡®Primitive¡¯: Photography, Architecture, and the Construction of Italian Modernism, 1911-1936"
2010,Prehistoric Art,Heather Horton,Marvin L. Trachtenberg ,Authority and Innovation in Alberti¡¯s Theory and Practice
2010,Renaissance/Baroque Art,Anne Hrychuk,Katherine Welch and Priscilla Soucek,"From Fornix to Arcus: The Origins, Development and Imperial Transformation of the Freestanding Roman Arch (196 BCE to 54 CE)"
2010,South/Southeast Asian Art,Lorraine Karafel,Colin T. Eisler,"Raphael¡¯s all¡¯antica Tapestries for Pope Leo X: Art, Culture, and Politics in Early Sixteenth-Century Rome"
2010,Twentieth-Century Art,Abigail McEwen,Edward J. Sullivan,"The Practice and Politics of Cuban Abstraction, c. 1952-1963"
2010,World Art,Margaret Samu,Linda Nochlin,The Female Nude in Nineteenth-Century Russian Art: A Study in Assimilation and Resistance
2010,African Art (sub-Saharan),Eve Straussman-Pflanzer,Linda Nochlin,Felsine Pittrici: The Women Artists of Early Modern Bologna
2010,Architectural History/Historic Preservation,Lori Waxman,Thomas Crow,"A Few Steps towards a Revolution of Everyday Life: Walking with the Surrealists, the Situationist International, and Fluxus"
1979,Art of the Middle East/North Africa,Barbara von Barghahn,Jonathan Brown,The Pictorial Decoration of the Buen Retiro Palace During the Reign of Philip IV
1979,Art of the United States,Lionel Bier,Donald P. Hansen,The ¡°Sassanian Palace¡± Near Sarvistan
1978,Chinese Art,Marian Burleigh,Gert Schiff,George Russel (AE): The Painter of the Irish Renaissance
1976,Contemporary Art,Robert Steven Bianchi,Bernard von Bothmer,The Striding Draped Male Figure of Ptolemaic Egypt
1975,Critical Theory/Gender Studies/Visual Studies,Linda Freeman Bauer,Donald Posner,On the Origins of the Oil Sketch: Form and Function in Cinquecento Preparatory Techniques
1974,Decorative Arts/Textiles/Design History,William Barcham,Donald Posner,The Imaginary View Scenes of Antonio Canaletto
1973,Digital Media/Animation,Ellen N. Davis,G¨¹nter H. Kopcke,The Vapheio Cups and Aegean Gold and Silver Ware
1972,Drawings/Prints/Works on Paper,Jo Anne Gitlin Bernstein,H. W. Janson,The Architectural Sculpture of the Cloisters of the Certosa di Pavia
1971,Early Christian/Byzantine Art,Inabelle Levin,Hugo Buchthal,The Quedlinburg Itala Fragment
1970,Early Medieval/Romanesque/Gothic Art,Roy Asbj_rn Boe,H. W. Janson,Edvard Munch: His Life and Work from 1880-1920
1959,Egyptian/Ancient Near Eastern Art,Won-Yong Kim,Alfred Salmony,Studies on Silla Pottery
1959,Eighteenth-Century Art,Maurice L. Shapiro,Craig Hugh Smyth,Studies in the Iconology of the Sculptures in the Tempio Malatestiano
1937,Film/Video,Robert John Goldwater,Richard Offner,Primitivism in Modern Painting
1934,Greek/Roman Art,J. Parker Sondheimer,Walter W.S. Cook,"Hispano-Moresque Ivory Carving of the Tenth and Eleventh Centuries A.D. from Cordova, Medina ez-Zahara and Cuenca"
1933,Japanese/Korean Art,Millard Meiss,Richard Offner,The Problem of Francesco Traini
1933,Latin American/Caribbean Art,Bernard Myers,A. Philip McMahon and Walter W.S. Cook,St. George and the Dragon
